Molecular-Printed Thermochromic with Fast Color Switching,"['Cho, Sungjun', 'Kim, Gwangmook', 'Lee, Sooun', 'Park, Jinwoo', 'Shim, Wooyoung']",ADVANCED OPTICAL MATERIALS,5,23,DEC 1 2017,wshim@yonsei.ac.kr,"Yonsei Univ, Dept Mat Sci & Engn, Seoul 120749, South Korea.","['Materials Science', 'Optics']","['molecular printing', 'reflective displays', 'thermochromic']","['POLYMER PEN LITHOGRAPHY', 'SOFT LITHOGRAPHY', 'HEAT-TRANSFER', 'ULTRAFAST', 'DISPLAY', 'FILMS', 'NANOLITHOGRAPHY', 'NANOFABRICATION', 'LUMINESCENCE', 'ARRAYS']","[['National Research Foundation of Korea Grant - Korean Government', 'ERC-2015R1A5A1037668']]"
Strong Coupling between Plasmonic Gap Modes and Photonic Lattice Modes in DNA-Assembled Gold Nanocube Arrays,"['Lin, Qing-Yuan', 'Li, Zhongyang', 'Brown, Keith A.', ""O'Brien, Matthew N."", 'Ross, Michael B.', 'Zhou, Yu', 'Butun, Serkan', 'Chen, Peng-Cheng', 'Schatz, George C.', 'Dravid, Vinayak P.', 'Aydin, Koray', 'Mirkin, Chad A.']",NANO LETTERS,15,7,Jul-15,aydin@northwestern.edu; chadnano@northwestern.edu,"Northwestern Univ, Int Inst Nanotechnol, 2145 Sheridan Rd, Evanston, IL 60208 USA.","['Chemistry', 'Science & Technology - Other Topics', 'Materials Science', 'Physics']","['Noble metal nanoparticles', 'gold nanocubes', 'DNA-mediated assembly', 'gap mode', 'lattice mode', 'plasmonic', 'photonic']","['NANOPARTICLE SUPERLATTICES', 'METAL NANOPARTICLES', 'NANOCAVITY ARRAYS', 'OPTICAL-RESPONSE', 'PEN LITHOGRAPHY', 'ENHANCEMENT', 'RESONANCES', 'SHAPE', 'NANOSTRUCTURES', 'METAMATERIALS']","[['AFOSR', 'FA9550-12-1-0280\xa0\nFA9550-11-1-0275'], [""National Science Foundation's MRSEC program at the Materials Research Center of Northwestern University"", 'DMR-1121262'], ['Hierarchical Materials Cluster Program Fellowship from Northwestern University', ''], ['Ryan Fellowship at Northwestern University', ''], [""Northwestern University's International Institute for Nanotechnology"", ''], ['NSF', ''], ['NDSEG', ''], ['MRSEC program (NSF) at the Materials Research Center', 'DMR-1121262'], ['International Institute for Nanotechnology (IN)', ''], ['State of Illinois through IIN', '']]"
Controlled Co-Assembly of Nanoparticles and Polymer into Ultra long and Continuous One-Dimensional Nanochains,"['Kim, Phil Yong', 'Oh, Jeong-Wook', 'Nam, Jwa-Min']",JOURNAL OF THE AMERICAN CHEMICAL SOCIETY,137,25,JUL 1 2015,jmnam@snu.ac.kr,"Seoul Natl Univ, Dept Chem, Gwanak Ro 1, Seoul 151747, South Korea.",['Chemistry'],[],"['ELECTROMAGNETIC ENERGY-TRANSPORT', 'GOLD NANOPARTICLES', 'METAL NANOSTRUCTURES', 'WAVE-GUIDES', 'CHAINS', 'GROWTH', 'FILMS', 'ASSEMBLIES', 'SCAFFOLDS', 'NETWORKS']","[['National Research Foundation of Korea', '2011-0018198'], ['BioNano Health-Guard Research Center - Ministry of Science, ICT & Future Planning of Korea as the Global Frontier Project', 'H-GUARD_2013M3A6B2078947']]"
Growing Tiny Flowers of Organometallic Polymers along Carbon Nanotubes,"['Liang, Guodong', 'Zheng, Limin', 'Bao, Suping', 'Fei, Bin', 'Gao, Haiyang', 'Zhu, Fangming', 'Wu, Qing']",MACROMOLECULES,48,12,JUN 23 2015,lgdong@mail.sysu.edu.cn,"Sun Yat Sen Univ, Sch Chem & Chem Engn, DSAP PCFM & GDHPPC Lab, Guangzhou 510275, Guangdong, Peoples R China.",['Polymer Science'],[],"['BLOCK-COPOLYMER MICELLES', 'PRUSSIAN-BLUE', 'COORDINATION POLYMERIZATION', 'MOLECULAR-WEIGHT', 'CRYSTALLIZATION', 'GOLD', 'GROWTH', 'NANOPARTICLES', 'DRIVEN', 'NANOSTRUCTURES']","[['NSFC', '21074151\xa0\n21374136']]"
Centimeter-Scale Subwavelength Photolithography Using Metal-Coated Elastomeric Photomasks with Modulated Light Intensity at the Oblique Sidewalls,"['Wu, Jin', 'Liu, Yayuan', 'Guo, Yuanyuan', 'Feng, Shuanglong', 'Zou, Binghua', 'Mao, Hui', 'Yu, Cheng-han', 'Tian, Danbi', 'Huang, Wei', 'Huo, Fengwei']",LANGMUIR,31,17,MAY 5 2015,FWHUO@ntu.edu.sg,"Nanjing Tech Univ, Jiangsu Natl Synergist Innovat Ctr Adv Mat SICAM, KLOFE, 30 South Puzhu Rd, Nanjing 211816, Jiangsu, Peoples R China.","['Chemistry', 'Materials Science']",[],"['BEAM PEN LITHOGRAPHY', 'NEAR-FIELD PHOTOLITHOGRAPHY', 'INTERFERENCE LITHOGRAPHY', 'SOFT LITHOGRAPHY', 'PHASE MASK', 'FABRICATION', 'NANOFABRICATION', 'STAMPS', 'NANOLITHOGRAPHY', 'SURFACES']","[['AcRF Tier 2 from the Ministry of Education, Singapore', 'RG 17/12']]"
Nanotube fountain pen: Towards 3D manufacturing of metallic nanostructures,"['Fan, Zheng', 'Tao, Xinyong', 'Fan, Xudong', 'Zhang, Xiaobin', 'Dong, Lixin']",CARBON,86,UNDEFINED,May-15,ldong@egr.msu.edu,"Michigan State Univ, Dept Elect & Comp Engn, E Lansing, MI 48824 USA.","['Chemistry', 'Materials Science']",[],"['ELECTROMIGRATION WIND FORCE', 'ELECTRON-BEAM LITHOGRAPHY', 'CARBON NANOTUBES', 'FUNDAMENTAL-ASPECTS', 'LASER', 'FABRICATION', 'DEPOSITION', 'TECHNOLOGIES', 'PRECISION', 'BREAKDOWN']","[['NSF', 'IIS-1054585'], ['NSFC', '51002138'], ['Natural Science Foundation of Zhejiang Province', 'LR13E020002\xa0\nLY13E020010'], ['New Century Excellent Talents in University (NCET)', '111079']]"
High-throughput patterning of photonic structures with tunable periodicity,"['Kempa, Thomas J.', 'Bediako, D. Kwabena', 'Kim, Sun-Kyung', 'Park, Hong-Gyu', 'Nocera, Daniel G.']",PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,112,17,APR 28 2015,tkempa@fas.harvard.edu; hgpark@korea.ac.kr; dnocera@fas.harvard.edu,"Harvard Univ, Dept Chem & Chem Biol, Cambridge, MA 02138 USA.",['Science & Technology - Other Topics'],"['nanopattern', 'electrochemistry', 'photonics', 'silicon', 'nanofabrication']","['PEN LITHOGRAPHY', 'PLASMONICS', 'NANOTECHNOLOGY', 'METALS']","[['National Science Foundation Center for Chemical Innovation Center', 'CHE-1305124'], ['National Research Foundation of Korea (NRF) - Ministry of Science, Information/Communication Technology & Future Planning', 'NRF-2013R1A1A1059423'], ['NRF - Korean government (Ministry of Science, Information/Communication Technology, and Future Planning)', '2009-0081565'], ['TomKat Trust', '']]"
Production of Centimeter-Scale Gradient Patterns by Graded Elastomeric Tip Array,"['Wu, Jin', 'Miao, Jianmin']",ACS APPLIED MATERIALS & INTERFACES,7,12,APR 1 2015,MJMMiao@ntu.edu.sg,"Nanyang Technol Univ, Sch Mech & Aerosp Engn, 50 Nanyang Ave, Singapore 639798, Singapore.","['Science & Technology - Other Topics', 'Materials Science']","['gradient patterns', 'photolithography', 'PDMS tip array', 'elastomeric photomask', '3D structures']","['POLYMER-PEN LITHOGRAPHY', 'SELF-ASSEMBLED MONOLAYERS', 'CHEMICAL LITHOGRAPHY', 'ELECTRON-BEAM', 'MICROPILLAR ARRAYS', 'CELL-MIGRATION', 'FEATURE SIZE', 'FABRICATION', 'SURFACE', 'FORCE']",[]
Trehalose glycopolymer resists allow direct writing of protein patterns by electron-beam lithography,"['Bat, Erhan', 'Lee, Juneyoung', 'Lau, Uland Y.', 'Maynard, Heather D.']",NATURE COMMUNICATIONS,6,UNDEFINED,Mar-15,maynard@chem.ucla.edu,"Univ Calif Los Angeles, Dept Chem & Biochem, 607 Charles F Young Dr East, Los Angeles, CA 90095 USA.",['Science & Technology - Other Topics'],[],"['HEPARIN-MIMICKING POLYMER', 'FIBROBLAST-GROWTH-FACTOR', 'DIP-PEN NANOLITHOGRAPHY', 'MESENCHYMAL STEM-CELLS', 'ADHESION', 'NANOSCALE', 'DIFFERENTIATION', 'IMMOBILIZATION', 'STABILIZATION', 'NANOPATTERNS']","[['National Science Foundation', 'CHE-1112550'], ['Netherlands Organization for Scientific Research', ''], ['Marie Curie Cofund Action', '680-50-1101'], ['NIH for Biotechnology Training Fellowship', '5T32 GM67555-7'], ['California NanoSystems Institute', '']]"
Apertureless Cantilever-Free Pen Arrays for Scanning Photochemical Printing,"['Zhou, Yu', 'Xie, Zhuang', 'Brown, Keith A.', 'Park, Daniel J.', 'Zhou, Xiaozhu', 'Chen, Peng-Cheng', 'Hirtz, Michael', 'Lin, Qing-Yuan', 'Dravid, Vinayak P.', 'Schatz, George C.', 'Zheng, Zijian', 'Mirkin, Chad A.']",SMALL,11,8,FEB 25 2015,tczzheng@polyu.edu.hk; chadnano@northwestern.edu,"Hong Kong Polytech Univ, Inst Text & Clothing, Nanotechnol Ctr, Hong Kong, Hong Kong, Peoples R China.","['Chemistry', 'Science & Technology - Other Topics', 'Materials Science', 'Physics']",[],"['FEATURE SIZE', 'LITHOGRAPHY', 'NANOLITHOGRAPHY', 'SURFACES', 'GRAPHENE', 'TIP']","[['AFOSR', 'FA9550-12-1-0141\xa0\nFA9550-12-1-0280'], ['National Science Foundation', 'DBI-1152139'], ['General Research Fund of Hong Kong', 'PolyU5041/11P'], ['Non-equilibrium Energy Research Center of the Department of Energy, Office of Basic Energy Science', 'DE-SC0000989'], ['Northwestern University', ''], ['Research Student Attachment Program of HKPolyU', ''], [""Northwestern University's International Institute for Nanotechnology"", '']]"
Colloidal Pen Lithography,"['Xue, Mianqi', 'Cai, Xiaojing', 'Chen, Ghenfu']",SMALL,11,5,FEB 4 2015,xuemq@iphy.ac.cn,"Chinese Acad Sci, Inst Phys, Beijing 100190, Peoples R China.","['Chemistry', 'Science & Technology - Other Topics', 'Materials Science', 'Physics']","['colloidal pen lithography', 'self-assembly', 'scanning probe lithography', 'protein chips', 'lithography']","['PROTEIN ARRAYS', 'NANOSTRUCTURE ARRAYS', 'NANOLITHOGRAPHY', 'BIOMOLECULES', 'FABRICATION', 'CHALLENGES', 'CRYSTALS', 'FEATURES', 'TIP']","[['Natural Science Foundation of China', ''], ['Beijing National Laboratory for Molecular Sciences (BNLMS)', ''], ['Shenzhen Science and Technology Innovation', '']]"
Parallel Near-Field Photolithography with Metal-Coated Elastomeric Masks,"['Wu, Jin', 'Yu, Cheng-han', 'Li, Shaozhou', 'Zou, Binghua', 'Liu, Yayuan', 'Zhu, Xiaoqun', 'Guo, Yuanyuan;', 'Xu, Hongbo', 'Zhang, Weina', 'Zhang, Liping', 'Liu, Bin', 'Tian, Danbi', 'Huang, Wei', 'Sheetz, Michael P.', 'Huo, Fengwei']",LANGMUIR,31,3,JAN 27 2015,FWHUO@ntu.edu.sg,"Nanyang Technol Univ, Sch Mat Sci & Engn, Singapore 639798, Singapore.","['Chemistry', 'Materials Science']",[],"['BEAM PEN LITHOGRAPHY', 'LARGE-AREA', 'FABRICATION', 'NANOFABRICATION', 'RESOLUTION', 'SURFACES', 'MOVEMENT', 'DEVICES', 'STAMPS', 'ARRAYS']","[['AcRE from Ministry of Education, Singapore', 'KG 17/12'], ['Singapore National Research Foundation under the Campus for Research Excellence and Technological Enterprise Programmed Nanomaterials for Energy and Water Management', ''], ['Foundation for Distinguished Young Scholars of Jiangsu Province', 'BK20140044']]"
Functional Lipid Assemblies by Dip-Pen Nanolithography and Polymer Pen Lithography,"['Hirtz, Michael', 'Sekula-Neuner, Sylwia', 'Urtizberea, Ainhoa', 'Fuchs, Harald']",SOFT MATTER NANOTECHNOLOGY: FROM STRUCTURE TO FUNCTION,UNDEFINED,UNDEFINED,2015,UNDEFINED,"Karlsruhe Inst Technol KIT, Karlsruhe Nano Micro Facil KNMF, Inst Nanotechnol INT, KIT Campus North, D-76021 Karlsruhe, Germany.","['Science & Technology - Other Topics', 'Materials Science']",[],"['LIPOSOMAL DRUG-DELIVERY', 'FORCE MICROSCOPE TIP', 'PROTEIN NANOSTRUCTURES', 'MOLECULAR-TRANSPORT', 'PLASMA-MEMBRANE', 'CELL ACTIVATION', 'INK TRANSPORT', 'FEATURE SIZE', 'X-RAY', 'DEPOSITION']",[]
Large-area scanning probe nanolithography facilitated by automated alignment of probe arrays,"['Wang, Shuai', 'Hosford, Joseph', 'Heath, William P.', 'Wong, Lu Shin']",RSC ADVANCES,5,75,2015,william.heath@manchester.ac.uk; l.s.wong@manchester.ac.uk,"Univ Manchester, Sch Elect & Elect Engn, Manchester M13 9PL, Lancs, England.",['Chemistry'],[],"['POLYMER PEN LITHOGRAPHY', 'NEAR-FIELD PHOTOLITHOGRAPHY', 'ATOMIC-FORCE MICROSCOPY', 'NANOFABRICATION', 'RESOLUTION', 'TIP']","[['UK Engineering and Physical Sciences Research Council', 'EP/K011685/1\xa0\nEP/K024485/1']]"
Production of centimeter-scale sub-wavelength nanopatterns by controlling the light path of adhesive photomasks,"['Wu, Jin', 'Tao, Kai', 'Miao, Jianmin']",JOURNAL OF MATERIALS CHEMISTRY C,3,26,2015,MJMMiao@ntu.edu.sg,"Nanyang Technol Univ, Sch Mech & Aerosp Engn, 50 Nanyang Ave, Singapore 639798, Singapore.","['Materials Science', 'Physics']",[],"['BEAM PEN LITHOGRAPHY', 'NEAR-FIELD PHOTOLITHOGRAPHY', 'BLOCK-COPOLYMER LITHOGRAPHY', 'LARGE-AREA', 'OPTICAL LITHOGRAPHY', 'NANOIMPRINT LITHOGRAPHY', 'ELASTOMERIC STAMPS', 'PATTERN TRANSFER', 'PHASE MASK', 'BOTTOM-UP']",[]
NESTED-BATCH-MODE LEARNING AND STOCHASTIC OPTIMIZATION WITH AN APPLICATION TO SEQUENTIAL MULTISTAGE TESTING IN MATERIALS SCIENCE,"['Wang, Yingfei', 'Reyes, Kristofer G.', 'Brown, Keith A.', 'Mirkin, Chad A.', 'Powell, Warren B.']",SIAM JOURNAL ON SCIENTIFIC COMPUTING,37,3,2015,yingfei@cs.princeton.edu; kreyes@gmail.com; brownka@gmail.com; chadnano@northwestern.edu; powell@princeton.edu,"Princeton Univ, Dept Comp Sci, Princeton, NJ 08540 USA.",['Mathematics'],"['optimal learning', 'materials science', 'sequential design of experiments', 'decision making', 'dynamic programming', 'knowledge gradient']","['POLYMER PEN LITHOGRAPHY', 'KNOWLEDGE-GRADIENT', 'OPTICAL-PROPERTIES', 'EVOLUTION', 'GOLD']","[['AFOSR', 'FA9550-12-1-0200']]"
Nano-bioelectronics via dip-pen nanolithography,"[""O'Connell, C. D."", 'Higgins, M. J.', 'Moulton, S. E.', 'Wallace, G. G.']",JOURNAL OF MATERIALS CHEMISTRY C,3,25,2015,gwallace@uow.edu.au,"Univ Wollongong, ARC Ctr Excellence Elect Sci, Intelligent Polymer Res Inst, Innovation Campus, Wollongong, NSW 2522, Australia.","['Materials Science', 'Physics']",[],"['ATOMIC-FORCE MICROSCOPE', 'SCANNING PROBE LITHOGRAPHY', 'SELF-ASSEMBLED MONOLAYERS', 'ELECTRICAL-STIMULATION PROMOTES', 'DPN-GENERATED NANOSTRUCTURES', 'BLOCK-COPOLYMER LITHOGRAPHY', 'NANOFOUNTAIN-PROBE', 'NANOMETER-SCALE', 'CONDUCTING POLYMERS', 'GOLD NANOPARTICLES']","[['Australian Research Council', ''], ['Australian Research Fellowship of Assoc. Prof. Michael Higgins', ''], ['QEII Fellowship of Assoc. Prof. Simon Moulton', '']]"
Design of Surface Modifications for Nanoscale Sensor Applications,"['Reimhult, Erik', 'Hook, Fredrik']",SENSORS,15,1,Jan-15,erik.reimhult@boku.ac.at; fredrik.hook@chalmers.se,"Univ Nat Resources & Life Sci, Dept Nanobiotechnol, Inst Biol Inspired Mat, Muthgasse 11, A-1190 Vienna, Austria.","['Chemistry', 'Electrochemistry', 'Instruments & Instrumentation']","['nanoscale sensor', 'biosensor', 'surface functionalization', 'molecular patterning']","['SELF-ASSEMBLED MONOLAYERS', 'SUPPORTED LIPID-BILAYERS', 'QUARTZ-CRYSTAL MICROBALANCE', 'DIP-PEN NANOLITHOGRAPHY', 'INDIUM TIN OXIDE', 'POLY(ETHYLENE GLYCOL)', 'PROTEIN ADSORPTION', 'BIOLOGICAL APPLICATIONS', 'PHOSPHOLIPID-BILAYERS', 'GOLD SURFACES']","[['European Research Council under the European Union', '310034'], ['Swedish Foundation for Strategic Research', '']]"
A hydrogel pen for electrochemical reaction and its applications for 3D printing,"['Kang, Hosuk', 'Hwang, Seongpil', 'Kwak, Juhyoun']",NANOSCALE,7,3,2015,sphwang@korea.ac.kr; juhyoun_kwak@kaist.ac.kr,"Korea Univ, Dept Adv Mat Chem, Sejong 339700, South Korea.","['Chemistry', 'Science & Technology - Other Topics', 'Materials Science', 'Physics']",[],"['MICROBAND ELECTRODES', 'MICROSCOPY', 'LITHOGRAPHY', 'DEPOSITION', 'ADVANTAGES', 'DIFFUSION', 'SURFACES', 'GROWTH', 'FILMS']","[['National Research Foundation of Korea (NRF) - Korea government (MSIP)', '20090083525'], ['National Research Foundation of Korea (NRF) - Ministry of Education, Science, and Technology', '2012R1A1A2006038']]"
Patterning of Quantum Dots by Dip-Pen and Polymer Pen Nanolithography,"['Biswas, Soma', 'Brinkmann, Falko', 'Hirtz, Michael', 'Fuchs, Harald']",NANOFABRICATION,2,1,Jan-15,soma.biswas@epfl.ch,"INT, D-76344 Eggenstein Leopoldshafen, Germany.",['Science & Technology - Other Topics'],"['Microarrays', 'Phospholipids', 'cholesterol', 'Nanoparticles', 'Fluorescence microscopy', 'Atomic force microscopy']",[],"[['Karlsruhe Nano Micro Facility (KNMF)', ''], ['Helmholtz Research Infrastructure at Karlsruhe Institute of Technology (KIT)', '']]"
Ink transport modelling in Dip-Pen Nanolithography and Polymer Pen Lithography,"['Urtizberea, Ainhoa', 'Hirtz, Michael', 'Fuchs, Harald']",NANOFABRICATION,2,1,Jan-15,michael.hirtz@kit.edu,"Karlsruhe Inst Technol, INT, Karlsruhe, Germany.",['Science & Technology - Other Topics'],"['Dip-pen nanolithography', 'DPN', 'Polymer Pen Nanolithography', 'PPL', 'ink transport']",[],"[['European Union', '328163']]"
Fabrication and characterization of non-linear parabolic microporous membranes,"['Rajasekaran, Pradeep Ramiah', 'Sharifi, Payam', 'Wolff, Justin', 'Kohli, Punit']",JOURNAL OF MEMBRANE SCIENCE,473,UNDEFINED,JAN 1 2015,pkohli@chem.siu.edu,"So Illinois Univ, Dept Chem & Biochem, Carbondale, IL 62901 USA.","['Engineering', 'Polymer Science']","['Micro-optics', 'Micro-mirrors', 'Non-linear parabolic pores', 'Parabolic membranes', 'Polydimethylsiloxane membranes']","['LITHOGRAPHY', 'CAPILLARIES', 'GRADIENTS', 'SURFACE', 'ARRAYS', 'FORCE', 'FILMS', 'FLOW']","[['National Science Foundation', ''], ['National Institutes of Health', ''], ['NSF', 'CHE 0959568'], ['Office of Vice-Chancellor of Research (OVCR) at SIUC', '']]"
Scanning Probe Microscope-Based Fluid Dispensing,"['Ghatkesar, Murali Krishna', 'Garza, Hector Hugo Perez', 'Heuck, Friedjof', 'Staufer, Urs']",MICROMACHINES,5,4,Dec-14,m.k.ghatkesar@tudelft.nl; h.h.perezgarza@tudelft.nl; Friedjof.Heuck@de.bosch.com; u.staufer@tudelft.nl,"Delft Univ Technol, Mekelweg 2, NL-2628 CD Delft, Netherlands.","['Science & Technology - Other Topics', 'Instruments & Instrumentation']","['pipette', 'microfluidics', 'atomic force microscope (AFM)', 'scanning probe microscope (SPM)', 'microdroplet', 'nanodroplet', 'dispensing', 'pumping']","['DIP-PEN NANOLITHOGRAPHY', 'ION CONDUCTANCE MICROSCOPY', 'ATOMIC-FORCE MICROSCOPE', 'ELECTROCHEMICAL-CELL MICROSCOPY', 'MICROMACHINED FOUNTAIN PEN', 'NANOFOUNTAIN PROBE', 'MASS-SPECTROMETRY', 'ELECTRIC-FIELD', 'LIVING CELLS', 'SINGLE CELLS']","[['NanoNextNL, a micro and nanotechnology consortium of the Government of the Netherlands', '']]"
"High Throughput, High Resolution Enzymatic Lithography Process: Effect of Crystallite Size, Moisture, and Enzyme Concentration","['Mao, Zhantong', 'Ganesh, Manoj', 'Bucaro, Michael', 'Smolianski, Igor', 'Gross, Richard A.', 'Lyons, Alan M.']",BIOMACROMOLECULES,15,12,Dec-14,alan.lyons@csi.cuny.edu,"CUNY Coll Staten Isl, Dept Chem, 6S-225,2800 Victory Blvd, Staten Isl, NY 10314 USA.","['Biochemistry & Molecular Biology', 'Chemistry', 'Polymer Science']",[],"['POLYMER PEN LITHOGRAPHY', 'RELATIVE-HUMIDITY', 'NANOLITHOGRAPHY', 'DEGRADATION', 'SCAFFOLDS', 'SURFACES', 'LIPASE', 'ARRAYS', 'TIP']","[['National Science Foundation under the Partnerships for International Research and Education (PIRE) program', '1243313'], ['CUNY Center for Advanced Technology', ''], [""NYS Empire State Development's Division of Science, Technology and Innovation (NYSTAR)"", '']]"
Selective adsorption of metal nanowires on molecularly patterned substrates using surface-to-volume ratio-dependent strategies,"['Lee, Dong-Jin', 'Heo, Kwang', 'Lee, Hyungwoo', 'Chang, Hochan', 'Lee, Byung Yang']",APPLIED PHYSICS EXPRESS,7,11,Nov-14,blee@korea.ac.kr,"Korea Univ, Sch Mech Engn, Seoul 136713, South Korea.",['Physics'],[],"['POLYMER PEN LITHOGRAPHY', 'FT-IR SPECTROSCOPY', 'SEMICONDUCTOR NANOWIRES', 'SILVER NANOWIRES', 'TRANSPARENT', 'NETWORKS', 'NANOTUBES', 'DEVICES', 'LIQUID', 'FILMS']","[['Basic Science Research Program through the National Research Foundation (NRF)', '2013R1A1A1010802'], ['Korea Ministry of Environment under ""The Environmental Health Action Program""', 'ARQ201303173002'], ['The Conversing Technology Program', '2013001650001\xa0\nARQ201403075001']]"
Controllable Printing Droplets for High-Resolution Patterns,"['Kuang, Minxuan', 'Wang, Libin', 'Song, Yanlin']",ADVANCED MATERIALS,26,40,OCT 29 2014,ylsong@iccas.ac.cn,"Chinese Acad Sci, Inst Chem, Key Lab Green Printing, BNLMS,Key Lab Organ Solids, Beijing 100190, Peoples R China.","['Chemistry', 'Science & Technology - Other Topics', 'Materials Science', 'Physics']",[],"['THIN-FILM TRANSISTORS', 'PHOTONIC-CRYSTAL', 'MICROLENS ARRAYS', 'COLLOIDAL DROPS', 'CONTACT LINE', 'POLYMER', 'INK', 'SURFACES', 'NANOPARTICLES', 'LITHOGRAPHY']","[['NSFC', '51173190\xa0\n21121001'], ['973 Program', '2013CB933004'], ['""Strategic Priority Research Program"" of the Chinese Academy of Sciences', 'XDA09020000']]"
Deep submicron parallel scanning probe lithography using two-degree-of-freedom microelectromechanical systems actuators with integrated nanotips,"['Mehdizadeh, Emad', 'Pourkamali, Siavash']",MICRO & NANO LETTERS,9,10,Oct-14,emad.mehdizadeh@utdallas.edu,"Univ Texas Dallas, Dept Elect Engn, Richardson, TX 75080 USA.","['Science & Technology - Other Topics', 'Materials Science']",[],[],"[['National Science Foundation', '1028710']]"
Novel sub-100 nm surface chemical modification by optical near-field induced photocatalytic reaction,"['Thu Hac Huong Le', 'Mawatari, Kazuma', 'Pihosh, Yuriy', 'Kawazoe, Tadashi', 'Yatsui, Takashi', 'Ohtsu, Motoichi', 'Kitamori, Takehiko']",MICROFLUIDICS AND NANOFLUIDICS,17,4,Oct-14,kitamori@icl.t.u-tokyo.ac.jp,"Univ Tokyo, Grad Sch Engn, Dept Appl Chem, Bunkyo Ku, Hongo 7-3-1, Tokyo 1138656, Japan.","['Science & Technology - Other Topics', 'Instruments & Instrumentation', 'Physics']","['Surface modification on nanoscale', 'Modification of bonded chip', 'Optical near-field', 'Photocatalytic chemical modification']","['LITHOGRAPHY', 'NANOLITHOGRAPHY', 'INTERFACE', 'SYSTEMS']","[['JSPS Core-to-Core Program', '']]"
Microstructured Graphene Arrays for Highly Sensitive Flexible Tactile Sensors,"['Zhu, Bowen', 'Niu, Zhiqiang', 'Wang, Hong', 'Leow, Wan Ru', 'Wang, Hua', 'Li, Yuangang', 'Zheng, Liyan', 'Wei, Jun', 'Huo, Fengwei', 'Chen, Xiaodong']",SMALL,10,18,SEP 24 2014,chenxd@ntu.edu.sg,"Nanyang Technol Univ, Sch Mat Sci & Engn, Nanyang Ave, Singapore 639798, Singapore.","['Chemistry', 'Science & Technology - Other Topics', 'Materials Science', 'Physics']","['graphene arrays', 'microstructures', 'tactile sensors', 'artificial skin']","['ELECTRONIC SKIN', 'LARGE-AREA', 'ARTIFICIAL SKIN', 'PRESSURE SENSORS', 'HIGH-PERFORMANCE', 'CARBON NANOTUBE', 'ORGANIC ELECTRONICS', 'GAS BARRIER', 'FILMS', 'TRANSPARENT']","[['Singapore National Research Foundation', 'NRF-RF2009-04'], ['Centre of Excellence for Silicon Technologies (Si-COE)', '']]"
Photo-Induced Functionalization of Spherical and Planar Surfaces via Caged Thioaldehyde End-Functional Polymers,"['Kaupp, Michael', 'Quick, Alexander S.', 'Rodriguez-Emmenegger, Cesar', 'Welle, Alexander', 'Trouillet, Vanessa', 'Pop-Georgievski, Ognen', 'Wegener, Martin', 'Barner-Kowollik, Christopher']",ADVANCED FUNCTIONAL MATERIALS,24,36,SEP 24 2014,christopher.barner-kowollik@kit.edu,"KIT, Inst Tech Chem & Polymerchem, Engesserstr 18, D-76128 Karlsruhe, Germany.","['Chemistry', 'Science & Technology - Other Topics', 'Materials Science', 'Physics']","['surface modification', 'porous materials', 'reversible addition fragmentation chain transfer polymerization', 'RAFT polymerization', 'glycopolymers', 'spatially resolved surface patterning']","['LIVING RADICAL POLYMERIZATION', 'PHOTO-GENERATED THIOALDEHYDES', 'RAFT PROCESS', 'CLICK CHEMISTRY', 'IMMOBILIZATION', 'MICROSPHERES', 'FABRICATION', 'UPDATE', 'BIOMATERIALS', 'INTERFACES']","[['Karlsruhe Institute of Technology (KIT)', ''], ['Helmholtz association via the STN program', ''], ['Alexander von Humboldt Foundation', ''], ['Grant Agency of the Czech Republic (GACR)', 'P205-12-1702\xa0\nP108/11/1857']]"
Additive nanomanufacturing - A review,"['Engstrom, D. S.', 'Porter, B.', 'Pacios, M.', 'Bhaskaran, H.']",JOURNAL OF MATERIALS RESEARCH,29,17,SEP 14 2014,harish.bhaskaran@materials.ox.ac.uk,"Univ Oxford, Dept Mat, Parks Rd, Oxford OX1 3PH, England.",['Materials Science'],[],"['DIP-PEN NANOLITHOGRAPHY', 'ATOMIC-FORCE MICROSCOPE', 'TISSUE ENGINEERING APPLICATIONS', 'SCANNING TUNNELING MICROSCOPE', 'BLOCK-COPOLYMER LITHOGRAPHY', 'NEAR-FIELD PHOTOLITHOGRAPHY', 'CARBON NANOTUBES', 'CONTROLLED MANIPULATION', 'POLYMERIC NANOFIBERS', 'INVISIBILITY CLOAK']","[['EPSRC', 'EP/J018694/1']]"
